date,mmm_yy,week_no
2022-03-01,mar-22,w-10
2022-03-02,mar-22,w-10
2022-03-03,mar-22,w-10
2022-03-04,mar-22,w-10
2022-03-05,mar-22,w-10
2022-03-06,mar-22,w-11
2022-03-07,mar-22,w-11
2022-03-08,mar-22,w-11
2022-03-09,mar-22,w-11
2022-03-10,mar-22,w-11
2022-03-11,mar-22,w-11
2022-03-12,mar-22,w-11
2022-03-13,mar-22,w-12
2022-03-14,mar-22,w-12
2022-03-15,mar-22,w-12
2022-03-16,mar-22,w-12
2022-03-17,mar-22,w-12
2022-03-18,mar-22,w-12
2022-03-19,mar-22,w-12
2022-03-20,mar-22,w-13
2022-03-21,mar-22,w-13
2022-03-22,mar-22,w-13
2022-03-23,mar-22,w-13
2022-03-24,mar-22,w-13
2022-03-25,mar-22,w-13
2022-03-26,mar-22,w-13
2022-03-27,mar-22,w-14
2022-03-28,mar-22,w-14
2022-03-29,mar-22,w-14
2022-03-30,mar-22,w-14
2022-03-31,mar-22,w-14
2022-04-01,apr-22,w-14
2022-04-02,apr-22,w-14
2022-04-03,apr-22,w-15
2022-04-04,apr-22,w-15
2022-04-05,apr-22,w-15
2022-04-06,apr-22,w-15
2022-04-07,apr-22,w-15
2022-04-08,apr-22,w-15
2022-04-09,apr-22,w-15
2022-04-10,apr-22,w-16
2022-04-11,apr-22,w-16
2022-04-12,apr-22,w-16
2022-04-13,apr-22,w-16
2022-04-14,apr-22,w-16
2022-04-15,apr-22,w-16
2022-04-16,apr-22,w-16
2022-04-17,apr-22,w-17
2022-04-18,apr-22,w-17
2022-04-19,apr-22,w-17
2022-04-20,apr-22,w-17
2022-04-21,apr-22,w-17
2022-04-22,apr-22,w-17
2022-04-23,apr-22,w-17
2022-04-24,apr-22,w-18
2022-04-25,apr-22,w-18
2022-04-26,apr-22,w-18
2022-04-27,apr-22,w-18
2022-04-28,apr-22,w-18
2022-04-29,apr-22,w-18
2022-04-30,apr-22,w-18
2022-05-01,may-22,w-19
2022-05-02,may-22,w-19
2022-05-03,may-22,w-19
2022-05-04,may-22,w-19
2022-05-05,may-22,w-19
2022-05-06,may-22,w-19
2022-05-07,may-22,w-19
2022-05-08,may-22,w-20
2022-05-09,may-22,w-20
2022-05-10,may-22,w-20
2022-05-11,may-22,w-20
2022-05-12,may-22,w-20
2022-05-13,may-22,w-20
2022-05-14,may-22,w-20
2022-05-15,may-22,w-21
2022-05-16,may-22,w-21
2022-05-17,may-22,w-21
2022-05-18,may-22,w-21
2022-05-19,may-22,w-21
2022-05-20,may-22,w-21
2022-05-21,may-22,w-21
2022-05-22,may-22,w-22
2022-05-23,may-22,w-22
2022-05-24,may-22,w-22
2022-05-25,may-22,w-22
2022-05-26,may-22,w-22
2022-05-27,may-22,w-22
2022-05-28,may-22,w-22
2022-05-29,may-22,w-23
2022-05-30,may-22,w-23
2022-05-31,may-22,w-23
2022-06-01,jun-22,w-23
2022-06-02,jun-22,w-23
2022-06-03,jun-22,w-23
2022-06-04,jun-22,w-23
2022-06-05,jun-22,w-24
2022-06-06,jun-22,w-24
2022-06-07,jun-22,w-24
2022-06-08,jun-22,w-24
2022-06-09,jun-22,w-24
2022-06-10,jun-22,w-24
2022-06-11,jun-22,w-24
2022-06-12,jun-22,w-25
2022-06-13,jun-22,w-25
2022-06-14,jun-22,w-25
2022-06-15,jun-22,w-25
2022-06-16,jun-22,w-25
2022-06-17,jun-22,w-25
2022-06-18,jun-22,w-25
2022-06-19,jun-22,w-26
2022-06-20,jun-22,w-26
2022-06-21,jun-22,w-26
2022-06-22,jun-22,w-26
2022-06-23,jun-22,w-26
2022-06-24,jun-22,w-26
2022-06-25,jun-22,w-26
2022-06-26,jun-22,w-27
2022-06-27,jun-22,w-27
2022-06-28,jun-22,w-27
2022-06-29,jun-22,w-27
2022-06-30,jun-22,w-27
2022-07-01,jul-22,w-27
2022-07-02,jul-22,w-27
2022-07-03,jul-22,w-28
2022-07-04,jul-22,w-28
2022-07-05,jul-22,w-28
2022-07-06,jul-22,w-28
2022-07-07,jul-22,w-28
2022-07-08,jul-22,w-28
2022-07-09,jul-22,w-28
2022-07-10,jul-22,w-29
2022-07-11,jul-22,w-29
2022-07-12,jul-22,w-29
2022-07-13,jul-22,w-29
2022-07-14,jul-22,w-29
2022-07-15,jul-22,w-29
2022-07-16,jul-22,w-29
2022-07-17,jul-22,w-30
2022-07-18,jul-22,w-30
2022-07-19,jul-22,w-30
2022-07-20,jul-22,w-30
2022-07-21,jul-22,w-30
2022-07-22,jul-22,w-30
2022-07-23,jul-22,w-30
2022-07-24,jul-22,w-31
2022-07-25,jul-22,w-31
2022-07-26,jul-22,w-31
2022-07-27,jul-22,w-31
2022-07-28,jul-22,w-31
2022-07-29,jul-22,w-31
2022-07-30,jul-22,w-31
2022-07-31,jul-22,w-32
2022-08-01,aug-22,w-32
2022-08-02,aug-22,w-32
2022-08-03,aug-22,w-32
2022-08-04,aug-22,w-32
2022-08-05,aug-22,w-32
2022-08-06,aug-22,w-32
2022-08-07,aug-22,w-33
2022-08-08,aug-22,w-33
2022-08-09,aug-22,w-33
2022-08-10,aug-22,w-33
2022-08-11,aug-22,w-33
2022-08-12,aug-22,w-33
2022-08-13,aug-22,w-33
2022-08-14,aug-22,w-34
2022-08-15,aug-22,w-34
2022-08-16,aug-22,w-34
2022-08-17,aug-22,w-34
2022-08-18,aug-22,w-34
2022-08-19,aug-22,w-34
2022-08-20,aug-22,w-34
2022-08-21,aug-22,w-35
2022-08-22,aug-22,w-35
2022-08-23,aug-22,w-35
2022-08-24,aug-22,w-35
2022-08-25,aug-22,w-35
2022-08-26,aug-22,w-35
2022-08-27,aug-22,w-35
2022-08-28,aug-22,w-36
2022-08-29,aug-22,w-36
2022-08-30,aug-22,w-36
